Age,Gender,Grade,DaysActive,HrsSleep,DaysBreakfast,Weight,DaysPE,PlaySports,StrengthTrain,VideoGames,HoursTV,FruitJuice,Milk,Soda,Fasted
16 years old,Male,10th grade,4 days,9 hours,7 days,,0 days,3 or more teams,5 days,1 hour per day,1 hour per day,1 to 3 times during the past 7 days,1 to 3 glasses during the past 7 days,1 to 3 times during the past 7 days,No
17 years old,Male,11th grade,7 days,8 hours,7 days,Very overweight,0 days,0 teams,7 days,3 hours per day,2 hours per day,1 to 3 times during the past 7 days,3 glasses per day,I did not drink soda or pop during the past 7 days,No
16 years old,Male,10th grade,6 days,8 hours,5 days,About the right weight,0 days,1 team,7 days,1 hour per day,2 hours per day,2 times per day,2 glasses per day,4 to 6 times during the past 7 days,No
17 years old,Male,10th grade,5 days,7 hours,7 days,About the right weight,0 days,3 or more teams,7 days,5 or more hours per day,5 or more hours per day,3 times per day,I did not drink milk during the past 7 days,4 to 6 times during the past 7 days,No
17 years old,Male,11th grade,7 days,8 hours,7 days,About the right weight,5 days,3 or more teams,5 days,Less than 1 hour per day,I do not watch TV on an average school day,2 times per day,2 glasses per day,1 to 3 times during the past 7 days,No
18 years old or older,Male,12th grade,1 day,4 or less hours,1 day,Slightly underweight,1 day,1 team,0 days,Less than 1 hour per day,Less than 1 hour per day,I did not drink 100% fruit juice during the past 7 days,1 to 3 glasses during the past 7 days,I did not drink soda or pop during the past 7 days,No
17 years old,Male,11th grade,5 days,7 hours,0 days,About the right weight,5 days,0 teams,0 days,5 or more hours per day,3 hours per day,1 to 3 times during the past 7 days,1 glass per day,1 to 3 times during the past 7 days,No
17 years old,Male,10th grade,1 day,6 hours,2 days,About the right weight,0 days,0 teams,7 days,2 hours per day,4 hours per day,4 to 6 times during the past 7 days,4 to 6 glasses during the past 7 days,1 time per day,No
16 years old,Male,10th grade,7 days,8 hours,5 days,Slightly overweight,5 days,3 or more teams,7 days,3 hours per day,3 hours per day,1 to 3 times during the past 7 days,1 to 3 glasses during the past 7 days,1 to 3 times during the past 7 days,No
17 years old,Male,11th grade,7 days,5 hours,7 days,Slightly underweight,5 days,1 team,7 days,2 hours per day,3 hours per day,4 or more times per day,3 glasses per day,I did not drink soda or pop during the past 7 days,No
18 years old or older,Female,11th grade,0 days,4 or less hours,7 days,Slightly underweight,1 day,0 teams,5 days,4 hours per day,3 hours per day,1 to 3 times during the past 7 days,2 glasses per day,1 to 3 times during the past 7 days,No
14 years old,Female,9th grade,4 days,9 hours,7 days,Slightly underweight,0 days,0 teams,1 day,1 hour per day,2 hours per day,4 or more times per day,2 glasses per day,1 time per day,No
15 years old,Female,9th grade,1 day,6 hours,0 days,About the right weight,0 days,0 teams,,2 hours per day,4 hours per day,1 to 3 times during the past 7 days,1 to 3 glasses during the past 7 days,1 to 3 times during the past 7 days,No
17 years old,Female,11th grade,2 days,8 hours,3 days,Slightly underweight,0 days,0 teams,0 days,Less than 1 hour per day,2 hours per day,1 to 3 times during the past 7 days,1 glass per day,4 to 6 times during the past 7 days,No
16 years old,Female,11th grade,5 days,5 hours,5 days,Slightly underweight,5 days,0 teams,1 day,Less than 1 hour per day,1 hour per day,I did not drink 100% fruit juice during the past 7 days,I did not drink milk during the past 7 days,I did not drink soda or pop during the past 7 days,No
16 years old,Female,10th grade,1 day,8 hours,7 days,About the right weight,0 days,0 teams,0 days,1 hour per day,2 hours per day,I did not drink 100% fruit juice during the past 7 days,1 glass per day,4 to 6 times during the past 7 days,No
15 years old,Female,9th grade,0 days,4 or less hours,0 days,About the right weight,0 days,0 teams,0 days,4 hours per day,5 or more hours per day,I did not drink 100% fruit juice during the past 7 days,4 to 6 glasses during the past 7 days,4 or more times per day,No
15 years old,Female,9th grade,1 day,5 hours,7 days,Slightly overweight,0 days,0 teams,1 day,5 or more hours per day,2 hours per day,1 to 3 times during the past 7 days,2 glasses per day,4 or more times per day,No
16 years old,Female,9th grade,7 days,8 hours,7 days,,0 days,0 teams,7 days,Less than 1 hour per day,3 hours per day,4 to 6 times during the past 7 days,I did not drink milk during the past 7 days,I did not drink soda or pop during the past 7 days,No
16 years old,Female,9th grade,0 days,7 hours,3 days,About the right weight,0 days,0 teams,1 day,2 hours per day,3 hours per day,1 to 3 times during the past 7 days,1 to 3 glasses during the past 7 days,3 times per day,No
15 years old,Female,9th grade,1 day,8 hours,7 days,About the right weight,0 days,0 teams,0 days,5 or more hours per day,4 hours per day,1 time per day,3 glasses per day,1 to 3 times during the past 7 days,No
14 years old,Female,9th grade,0 days,6 hours,7 days,About the right weight,0 days,0 teams,0 days,4 hours per day,3 hours per day,1 to 3 times during the past 7 days,1 to 3 glasses during the past 7 days,3 times per day,No
16 years old,Female,11th grade,5 days,6 hours,7 days,Slightly overweight,5 days,1 team,0 days,2 hours per day,1 hour per day,1 time per day,1 to 3 glasses during the past 7 days,I did not drink soda or pop during the past 7 days,No
16 years old,Female,11th grade,0 days,5 hours,2 days,Slightly overweight,0 days,0 teams,0 days,4 hours per day,2 hours per day,1 to 3 times during the past 7 days,1 to 3 glasses during the past 7 days,1 to 3 times during the past 7 days,No
16 years old,Female,9th grade,7 days,7 hours,7 days,About the right weight,0 days,0 teams,7 days,I do not play video or computer games or use a computer for something that is not school work,1 hour per day,4 or more times per day,4 or more glasses per day,I did not drink soda or pop during the past 7 days,No
17 years old,Female,11th grade,1 day,4 or less hours,0 days,About the right weight,0 days,0 teams,1 day,5 or more hours per day,5 or more hours per day,4 to 6 times during the past 7 days,1 to 3 glasses during the past 7 days,4 to 6 times during the past 7 days,Yes
17 years old,Female,10th grade,0 days,7 hours,5 days,About the right weight,0 days,0 teams,0 days,2 hours per day,3 hours per day,I did not drink 100% fruit juice during the past 7 days,4 or more glasses per day,3 times per day,No
15 years old,Female,9th grade,6 days,7 hours,6 days,About the right weight,5 days,1 team,1 day,5 or more hours per day,I do not watch TV on an average school day,1 to 3 times during the past 7 days,I did not drink milk during the past 7 days,1 to 3 times during the past 7 days,No
15 years old,Female,11th grade,2 days,8 hours,3 days,About the right weight,0 days,1 team,0 days,2 hours per day,4 hours per day,I did not drink 100% fruit juice during the past 7 days,1 to 3 glasses during the past 7 days,2 times per day,No
15 years old,Female,10th grade,0 days,7 hours,3 days,About the right weight,0 days,1 team,0 days,5 or more hours per day,3 hours per day,4 or more times per day,1 glass per day,1 time per day,No
16 years old,Female,10th grade,3 days,6 hours,7 days,About the right weight,0 days,0 teams,0 days,2 hours per day,Less than 1 hour per day,I did not drink 100% fruit juice during the past 7 days,1 glass per day,I did not drink soda or pop during the past 7 days,No
18 years old or older,Female,11th grade,7 days,6 hours,7 days,About the right weight,5 days,2 teams,7 days,2 hours per day,5 or more hours per day,4 or more times per day,1 glass per day,4 to 6 times during the past 7 days,No
16 years old,Male,11th grade,,,,About the right weight,,,,,,,,,
16 years old,Male,11th grade,4 days,7 hours,1 day,Slightly overweight,0 days,0 teams,0 days,2 hours per day,2 hours per day,4 to 6 times during the past 7 days,1 glass per day,4 to 6 times during the past 7 days,Yes
16 years old,Female,11th grade,0 days,7 hours,7 days,About the right weight,0 days,1 team,0 days,I do not play video or computer games or use a computer for something that is not school work,2 hours per day,4 or more times per day,I did not drink milk during the past 7 days,1 time per day,No
16 years old,Female,11th grade,0 days,9 hours,2 days,About the right weight,0 days,2 teams,0 days,2 hours per day,2 hours per day,1 to 3 times during the past 7 days,1 to 3 glasses during the past 7 days,1 to 3 times during the past 7 days,No
15 years old,Female,11th grade,,,,,,,,,,,,,
16 years old,Female,11th grade,2 days,4 or less hours,0 days,About the right weight,0 days,0 teams,2 days,I do not play video or computer games or use a computer for something that is not school work,4 hours per day,1 to 3 times during the past 7 days,I did not drink milk during the past 7 days,1 to 3 times during the past 7 days,No
16 years old,Male,11th grade,0 days,4 or less hours,0 days,Very underweight,0 days,0 teams,0 days,5 or more hours per day,5 or more hours per day,I did not drink 100% fruit juice during the past 7 days,I did not drink milk during the past 7 days,I did not drink soda or pop during the past 7 days,Yes
16 years old,Male,11th grade,7 days,5 hours,4 days,Very overweight,3 days,0 teams,0 days,1 hour per day,I do not watch TV on an average school day,4 to 6 times during the past 7 days,4 to 6 glasses during the past 7 days,I did not drink soda or pop during the past 7 days,No
17 years old,Female,11th grade,2 days,6 hours,0 days,Very overweight,0 days,1 team,2 days,5 or more hours per day,4 hours per day,1 to 3 times during the past 7 days,,4 to 6 times during the past 7 days,Yes
16 years old,Female,11th grade,7 days,7 hours,6 days,About the right weight,5 days,1 team,7 days,Less than 1 hour per day,Less than 1 hour per day,1 to 3 times during the past 7 days,1 to 3 glasses during the past 7 days,I did not drink soda or pop during the past 7 days,No
16 years old,Female,11th grade,5 days,8 hours,5 days,About the right weight,0 days,0 teams,2 days,Less than 1 hour per day,4 hours per day,4 or more times per day,I did not drink milk during the past 7 days,1 to 3 times during the past 7 days,No
17 years old,Male,11th grade,,,,,,,,,,,,,
16 years old,Female,11th grade,7 days,5 hours,0 days,About the right weight,0 days,0 teams,2 days,4 hours per day,5 or more hours per day,1 to 3 times during the past 7 days,I did not drink milk during the past 7 days,4 or more times per day,No
16 years old,Female,11th grade,6 days,7 hours,7 days,About the right weight,0 days,3 or more teams,6 days,Less than 1 hour per day,I do not watch TV on an average school day,1 to 3 times during the past 7 days,I did not drink milk during the past 7 days,I did not drink soda or pop during the past 7 days,No
16 years old,Female,11th grade,0 days,9 hours,7 days,About the right weight,0 days,0 teams,0 days,I do not play video or computer games or use a computer for something that is not school work,2 hours per day,4 or more times per day,I did not drink milk during the past 7 days,I did not drink soda or pop during the past 7 days,No
16 years old,Male,11th grade,2 days,6 hours,4 days,About the right weight,2 days,3 or more teams,4 days,3 hours per day,5 or more hours per day,1 time per day,4 to 6 glasses during the past 7 days,1 time per day,No
16 years old,Male,11th grade,1 day,6 hours,0 days,Slightly underweight,2 days,1 team,0 days,1 hour per day,I do not watch TV on an average school day,1 to 3 times during the past 7 days,4 to 6 glasses during the past 7 days,4 to 6 times during the past 7 days,No
16 years old,Female,11th grade,0 days,8 hours,2 days,Very overweight,0 days,0 teams,0 days,Less than 1 hour per day,1 hour per day,I did not drink 100% fruit juice during the past 7 days,I did not drink milk during the past 7 days,I did not drink soda or pop during the past 7 days,No
15 years old,Female,11th grade,4 days,6 hours,2 days,About the right weight,0 days,1 team,0 days,1 hour per day,3 hours per day,1 to 3 times during the past 7 days,4 to 6 glasses during the past 7 days,,No
16 years old,Female,11th grade,0 days,6 hours,7 days,About the right weight,0 days,1 team,7 days,3 hours per day,4 hours per day,1 to 3 times during the past 7 days,I did not drink milk during the past 7 days,1 to 3 times during the past 7 days,No
15 years old,Male,11th grade,5 days,6 hours,7 days,Slightly overweight,3 days,0 teams,5 days,5 or more hours per day,5 or more hours per day,I did not drink 100% fruit juice during the past 7 days,I did not drink milk during the past 7 days,2 times per day,No
17 years old,Female,11th grade,7 days,6 hours,7 days,About the right weight,3 days,2 teams,4 days,I do not play video or computer games or use a computer for something that is not school work,2 hours per day,4 to 6 times during the past 7 days,3 glasses per day,I did not drink soda or pop during the past 7 days,Yes
16 years old,Female,11th grade,6 days,7 hours,5 days,About the right weight,2 days,2 teams,6 days,Less than 1 hour per day,,I did not drink 100% fruit juice during the past 7 days,1 to 3 glasses during the past 7 days,I did not drink soda or pop during the past 7 days,No
16 years old,Male,11th grade,4 days,8 hours,7 days,Slightly overweight,3 days,1 team,3 days,I do not play video or computer games or use a computer for something that is not school work,I do not watch TV on an average school day,1 to 3 times during the past 7 days,4 to 6 glasses during the past 7 days,3 times per day,No
16 years old,Female,11th grade,0 days,,2 days,Very overweight,0 days,0 teams,0 days,4 hours per day,5 or more hours per day,1 to 3 times during the past 7 days,4 to 6 glasses during the past 7 days,4 to 6 times during the past 7 days,Yes
16 years old,Female,11th grade,7 days,6 hours,2 days,About the right weight,0 days,3 or more teams,0 days,5 or more hours per day,5 or more hours per day,1 to 3 times during the past 7 days,1 to 3 glasses during the past 7 days,2 times per day,No
16 years old,Female,11th grade,7 days,8 hours,2 days,About the right weight,0 days,1 team,0 days,1 hour per day,3 hours per day,1 time per day,I did not drink milk during the past 7 days,I did not drink soda or pop during the past 7 days,Yes
16 years old,Female,11th grade,4 days,7 hours,7 days,Slightly underweight,0 days,0 teams,1 day,5 or more hours per day,2 hours per day,2 times per day,I did not drink milk during the past 7 days,1 time per day,No
16 years old,,11th grade,3 days,6 hours,4 days,About the right weight,0 days,0 teams,4 days,3 hours per day,2 hours per day,4 to 6 times during the past 7 days,1 to 3 glasses during the past 7 days,4 to 6 times during the past 7 days,No
16 years old,Female,11th grade,0 days,5 hours,7 days,About the right weight,0 days,2 teams,0 days,I do not play video or computer games or use a computer for something that is not school work,5 or more hours per day,4 to 6 times during the past 7 days,1 to 3 glasses during the past 7 days,I did not drink soda or pop during the past 7 days,No
16 years old,Female,11th grade,5 days,5 hours,7 days,About the right weight,3 days,0 teams,0 days,3 hours per day,Less than 1 hour per day,4 to 6 times during the past 7 days,4 to 6 glasses during the past 7 days,1 to 3 times during the past 7 days,No
16 years old,Female,11th grade,5 days,5 hours,4 days,About the right weight,0 days,0 teams,5 days,3 hours per day,3 hours per day,4 to 6 times during the past 7 days,4 to 6 glasses during the past 7 days,1 to 3 times during the past 7 days,No
16 years old,Male,11th grade,7 days,7 hours,4 days,About the right weight,3 days,1 team,7 days,Less than 1 hour per day,4 hours per day,3 times per day,1 glass per day,3 times per day,No
16 years old,Male,11th grade,5 days,9 hours,7 days,About the right weight,4 days,2 teams,7 days,I do not play video or computer games or use a computer for something that is not school work,5 or more hours per day,4 or more times per day,3 glasses per day,4 to 6 times during the past 7 days,No
16 years old,Male,11th grade,2 days,7 hours,7 days,Slightly overweight,0 days,1 team,2 days,5 or more hours per day,I do not watch TV on an average school day,1 to 3 times during the past 7 days,4 to 6 glasses during the past 7 days,1 to 3 times during the past 7 days,No
16 years old,Male,11th grade,0 days,4 or less hours,0 days,Slightly overweight,0 days,0 teams,0 days,2 hours per day,5 or more hours per day,I did not drink 100% fruit juice during the past 7 days,I did not drink milk during the past 7 days,I did not drink soda or pop during the past 7 days,No
16 years old,Female,11th grade,0 days,5 hours,0 days,Slightly overweight,0 days,0 teams,1 day,3 hours per day,2 hours per day,4 to 6 times during the past 7 days,I did not drink milk during the past 7 days,1 to 3 times during the past 7 days,No
16 years old,Male,11th grade,2 days,7 hours,2 days,Slightly underweight,3 days,0 teams,2 days,Less than 1 hour per day,4 hours per day,I did not drink 100% fruit juice during the past 7 days,I did not drink milk during the past 7 days,1 to 3 times during the past 7 days,No
16 years old,Male,11th grade,4 days,6 hours,7 days,About the right weight,2 days,0 teams,3 days,3 hours per day,2 hours per day,1 to 3 times during the past 7 days,1 to 3 glasses during the past 7 days,1 to 3 times during the past 7 days,No
16 years old,Female,11th grade,0 days,4 or less hours,0 days,About the right weight,0 days,1 team,0 days,3 hours per day,5 or more hours per day,I did not drink 100% fruit juice during the past 7 days,1 to 3 glasses during the past 7 days,1 to 3 times during the past 7 days,No
15 years old,Male,11th grade,2 days,8 hours,7 days,Slightly overweight,0 days,0 teams,0 days,2 hours per day,2 hours per day,4 to 6 times during the past 7 days,2 glasses per day,1 to 3 times during the past 7 days,No
16 years old,Female,11th grade,0 days,7 hours,0 days,About the right weight,0 days,0 teams,0 days,1 hour per day,Less than 1 hour per day,1 to 3 times during the past 7 days,I did not drink milk during the past 7 days,I did not drink soda or pop during the past 7 days,No
16 years old,Male,11th grade,2 days,6 hours,0 days,Slightly underweight,0 days,1 team,3 days,1 hour per day,3 hours per day,2 times per day,2 glasses per day,I did not drink soda or pop during the past 7 days,No
16 years old,Male,11th grade,3 days,8 hours,3 days,About the right weight,2 days,2 teams,4 days,3 hours per day,4 hours per day,4 or more times per day,2 glasses per day,1 to 3 times during the past 7 days,No
16 years old,Female,11th grade,3 days,8 hours,0 days,About the right weight,0 days,0 teams,2 days,I do not play video or computer games or use a computer for something that is not school work,2 hours per day,2 times per day,I did not drink milk during the past 7 days,I did not drink soda or pop during the past 7 days,Yes
16 years old,Female,11th grade,5 days,5 hours,3 days,About the right weight,2 days,1 team,3 days,3 hours per day,3 hours per day,4 to 6 times during the past 7 days,4 to 6 glasses during the past 7 days,1 to 3 times during the past 7 days,No
15 years old,Female,11th grade,0 days,6 hours,0 days,About the right weight,0 days,2 teams,0 days,I do not play video or computer games or use a computer for something that is not school work,I do not watch TV on an average school day,I did not drink 100% fruit juice during the past 7 days,I did not drink milk during the past 7 days,I did not drink soda or pop during the past 7 days,No
15 years old,Male,10th grade,7 days,6 hours,7 days,About the right weight,3 days,2 teams,7 days,2 hours per day,2 hours per day,2 times per day,3 glasses per day,2 times per day,No
15 years old,Female,10th grade,2 days,5 hours,1 day,About the right weight,2 days,1 team,0 days,I do not play video or computer games or use a computer for something that is not school work,Less than 1 hour per day,1 to 3 times during the past 7 days,I did not drink milk during the past 7 days,I did not drink soda or pop during the past 7 days,No
15 years old,Male,10th grade,0 days,7 hours,7 days,Slightly overweight,0 days,0 teams,0 days,Less than 1 hour per day,Less than 1 hour per day,1 time per day,1 to 3 glasses during the past 7 days,1 to 3 times during the past 7 days,No
15 years old,Female,10th grade,2 days,8 hours,3 days,About the right weight,0 days,0 teams,2 days,3 hours per day,4 hours per day,1 to 3 times during the past 7 days,1 to 3 glasses during the past 7 days,4 to 6 times during the past 7 days,No
15 years old,Female,10th grade,7 days,5 hours,1 day,Slightly overweight,3 days,1 team,4 days,3 hours per day,3 hours per day,1 to 3 times during the past 7 days,I did not drink milk during the past 7 days,4 to 6 times during the past 7 days,No
15 years old,Male,,1 day,8 hours,2 days,Slightly overweight,2 days,3 or more teams,2 days,2 hours per day,4 hours per day,4 to 6 times during the past 7 days,1 to 3 glasses during the past 7 days,I did not drink soda or pop during the past 7 days,No
15 years old,Male,10th grade,2 days,4 or less hours,0 days,About the right weight,3 days,0 teams,0 days,Less than 1 hour per day,5 or more hours per day,I did not drink 100% fruit juice during the past 7 days,1 glass per day,1 to 3 times during the past 7 days,No
15 years old,Female,10th grade,0 days,6 hours,1 day,About the right weight,0 days,0 teams,2 days,4 hours per day,3 hours per day,4 or more times per day,I did not drink milk during the past 7 days,3 times per day,No
15 years old,Female,10th grade,7 days,5 hours,0 days,About the right weight,0 days,2 teams,7 days,3 hours per day,5 or more hours per day,4 or more times per day,I did not drink milk during the past 7 days,4 or more times per day,No
15 years old,Female,10th grade,3 days,8 hours,2 days,About the right weight,3 days,1 team,3 days,3 hours per day,4 hours per day,4 to 6 times during the past 7 days,I did not drink milk during the past 7 days,4 to 6 times during the past 7 days,No
15 years old,Female,10th grade,4 days,8 hours,7 days,About the right weight,3 days,0 teams,0 days,Less than 1 hour per day,4 hours per day,1 to 3 times during the past 7 days,4 to 6 glasses during the past 7 days,1 to 3 times during the past 7 days,No
15 years old,Female,10th grade,6 days,8 hours,4 days,About the right weight,3 days,2 teams,6 days,3 hours per day,3 hours per day,1 to 3 times during the past 7 days,3 glasses per day,1 to 3 times during the past 7 days,No
15 years old,Male,10th grade,,,,,,,,,,,,,
15 years old,Male,10th grade,7 days,7 hours,2 days,About the right weight,5 days,2 teams,4 days,2 hours per day,3 hours per day,4 to 6 times during the past 7 days,4 or more glasses per day,4 to 6 times during the past 7 days,No
15 years old,Female,10th grade,3 days,6 hours,4 days,About the right weight,2 days,0 teams,1 day,1 hour per day,Less than 1 hour per day,3 times per day,1 to 3 glasses during the past 7 days,1 to 3 times during the past 7 days,No
15 years old,Female,10th grade,0 days,7 hours,0 days,About the right weight,0 days,1 team,0 days,2 hours per day,Less than 1 hour per day,1 to 3 times during the past 7 days,1 to 3 glasses during the past 7 days,I did not drink soda or pop during the past 7 days,No
15 years old,Male,10th grade,5 days,7 hours,5 days,About the right weight,3 days,0 teams,5 days,2 hours per day,5 or more hours per day,I did not drink 100% fruit juice during the past 7 days,I did not drink milk during the past 7 days,4 or more times per day,No
15 years old,Male,10th grade,7 days,5 hours,7 days,Slightly overweight,2 days,2 teams,7 days,2 hours per day,2 hours per day,I did not drink 100% fruit juice during the past 7 days,1 to 3 glasses during the past 7 days,1 to 3 times during the past 7 days,No
15 years old,Female,10th grade,2 days,7 hours,1 day,About the right weight,1 day,0 teams,2 days,I do not play video or computer games or use a computer for something that is not school work,3 hours per day,I did not drink 100% fruit juice during the past 7 days,I did not drink milk during the past 7 days,2 times per day,No
15 years old,Female,10th grade,7 days,7 hours,3 days,About the right weight,0 days,2 teams,7 days,4 hours per day,5 or more hours per day,4 or more times per day,2 glasses per day,4 or more times per day,No
16 years old,Female,10th grade,0 days,8 hours,0 days,About the right weight,2 days,0 teams,0 days,I do not play video or computer games or use a computer for something that is not school work,5 or more hours per day,1 time per day,4 to 6 glasses during the past 7 days,4 to 6 times during the past 7 days,No
15 years old,Female,10th grade,4 days,,1 day,Very overweight,3 days,3 or more teams,4 days,1 hour per day,I do not watch TV on an average school day,3 times per day,4 or more glasses per day,1 to 3 times during the past 7 days,No
15 years old,Female,10th grade,3 days,7 hours,5 days,About the right weight,0 days,1 team,0 days,Less than 1 hour per day,3 hours per day,4 to 6 times during the past 7 days,I did not drink milk during the past 7 days,4 to 6 times during the past 7 days,No
15 years old,Female,10th grade,2 days,7 hours,2 days,About the right weight,3 days,1 team,0 days,5 or more hours per day,3 hours per day,1 to 3 times during the past 7 days,I did not drink milk during the past 7 days,1 to 3 times during the past 7 days,No
15 years old,Female,10th grade,1 day,6 hours,2 days,About the right weight,0 days,0 teams,1 day,1 hour per day,4 hours per day,3 times per day,4 to 6 glasses during the past 7 days,1 to 3 times during the past 7 days,No
15 years old,Male,10th grade,1 day,8 hours,3 days,About the right weight,3 days,1 team,0 days,5 or more hours per day,Less than 1 hour per day,1 to 3 times during the past 7 days,1 to 3 glasses during the past 7 days,4 to 6 times during the past 7 days,No
15 years old,Female,10th grade,5 days,7 hours,2 days,About the right weight,5 days,0 teams,3 days,5 or more hours per day,1 hour per day,4 to 6 times during the past 7 days,I did not drink milk during the past 7 days,3 times per day,No
15 years old,Female,10th grade,2 days,6 hours,2 days,Slightly underweight,3 days,2 teams,3 days,Less than 1 hour per day,1 hour per day,1 to 3 times during the past 7 days,2 glasses per day,4 to 6 times during the past 7 days,No
15 years old,Female,10th grade,7 days,7 hours,1 day,About the right weight,0 days,2 teams,3 days,3 hours per day,2 hours per day,1 to 3 times during the past 7 days,I did not drink milk during the past 7 days,4 to 6 times during the past 7 days,No
15 years old,Female,10th grade,1 day,7 hours,2 days,Slightly underweight,0 days,0 teams,0 days,3 hours per day,3 hours per day,2 times per day,2 glasses per day,1 time per day,No
14 years old,Male,9th grade,2 days,4 or less hours,2 days,About the right weight,3 days,3 or more teams,3 days,4 hours per day,5 or more hours per day,2 times per day,3 glasses per day,1 time per day,No
14 years old,Female,9th grade,3 days,8 hours,7 days,About the right weight,0 days,3 or more teams,4 days,2 hours per day,4 hours per day,I did not drink 100% fruit juice during the past 7 days,I did not drink milk during the past 7 days,1 to 3 times during the past 7 days,Yes
14 years old,Female,9th grade,3 days,8 hours,7 days,About the right weight,3 days,1 team,3 days,1 hour per day,I do not watch TV on an average school day,1 to 3 times during the past 7 days,4 to 6 glasses during the past 7 days,1 to 3 times during the past 7 days,No
14 years old,Male,9th grade,7 days,7 hours,3 days,Slightly underweight,0 days,3 or more teams,7 days,3 hours per day,3 hours per day,4 to 6 times during the past 7 days,I did not drink milk during the past 7 days,4 to 6 times during the past 7 days,No
14 years old,Female,9th grade,4 days,4 or less hours,4 days,Slightly overweight,4 days,0 teams,4 days,Less than 1 hour per day,4 hours per day,2 times per day,1 to 3 glasses during the past 7 days,3 times per day,No
14 years old,Female,9th grade,3 days,4 or less hours,3 days,Slightly overweight,3 days,0 teams,1 day,2 hours per day,5 or more hours per day,4 to 6 times during the past 7 days,1 to 3 glasses during the past 7 days,4 to 6 times during the past 7 days,No
14 years old,Male,9th grade,3 days,8 hours,0 days,Slightly overweight,0 days,1 team,7 days,5 or more hours per day,5 or more hours per day,1 to 3 times during the past 7 days,I did not drink milk during the past 7 days,4 to 6 times during the past 7 days,No
14 years old,Female,9th grade,1 day,7 hours,0 days,Slightly overweight,0 days,0 teams,0 days,3 hours per day,4 hours per day,1 to 3 times during the past 7 days,I did not drink milk during the past 7 days,4 to 6 times during the past 7 days,No
14 years old,Male,9th grade,7 days,10 or more hours,7 days,Very underweight,5 days,3 or more teams,7 days,5 or more hours per day,5 or more hours per day,1 to 3 times during the past 7 days,4 or more glasses per day,4 or more times per day,Yes
15 years old,Female,9th grade,,,,About the right weight,,,,,,4 to 6 times during the past 7 days,,1 to 3 times during the past 7 days,No
14 years old,Male,9th grade,,7 hours,,About the right weight,,,,,,4 to 6 times during the past 7 days,,4 to 6 times during the past 7 days,No
14 years old,Female,9th grade,1 day,7 hours,4 days,About the right weight,0 days,2 teams,6 days,2 hours per day,5 or more hours per day,1 to 3 times during the past 7 days,2 glasses per day,3 times per day,No
14 years old,Male,9th grade,7 days,7 hours,7 days,Slightly overweight,3 days,3 or more teams,3 days,1 hour per day,Less than 1 hour per day,1 time per day,2 glasses per day,1 to 3 times during the past 7 days,No
14 years old,Female,9th grade,,,,About the right weight,,,,,,,,,No
,,,,,,About the right weight,,,,,,4 or more times per day,,4 to 6 times during the past 7 days,No
14 years old,Male,10th grade,5 days,7 hours,5 days,About the right weight,3 days,2 teams,7 days,Less than 1 hour per day,2 hours per day,4 to 6 times during the past 7 days,I did not drink milk during the past 7 days,I did not drink soda or pop during the past 7 days,No
14 years old,Female,9th grade,3 days,8 hours,6 days,About the right weight,3 days,1 team,3 days,Less than 1 hour per day,2 hours per day,1 to 3 times during the past 7 days,4 to 6 glasses during the past 7 days,4 to 6 times during the past 7 days,No
13 years old,Male,9th grade,4 days,8 hours,4 days,Very overweight,0 days,0 teams,2 days,1 hour per day,2 hours per day,1 to 3 times during the past 7 days,4 to 6 glasses during the past 7 days,1 to 3 times during the past 7 days,No
14 years old,Female,9th grade,5 days,6 hours,0 days,About the right weight,0 days,1 team,5 days,3 hours per day,I do not watch TV on an average school day,2 times per day,1 to 3 glasses during the past 7 days,1 to 3 times during the past 7 days,No
14 years old,Male,9th grade,7 days,,4 days,About the right weight,1 day,3 or more teams,6 days,I do not play video or computer games or use a computer for something that is not school work,I do not watch TV on an average school day,4 to 6 times during the past 7 days,4 to 6 glasses during the past 7 days,4 to 6 times during the past 7 days,No
14 years old,Female,9th grade,1 day,6 hours,0 days,Slightly overweight,0 days,0 teams,0 days,Less than 1 hour per day,5 or more hours per day,I did not drink 100% fruit juice during the past 7 days,I did not drink milk during the past 7 days,3 times per day,No
14 years old,Female,9th grade,7 days,5 hours,1 day,Very underweight,0 days,1 team,7 days,5 or more hours per day,5 or more hours per day,1 to 3 times during the past 7 days,I did not drink milk during the past 7 days,3 times per day,No
15 years old,Female,9th grade,1 day,8 hours,2 days,About the right weight,0 days,2 teams,0 days,4 hours per day,3 hours per day,1 time per day,1 to 3 glasses during the past 7 days,3 times per day,No
14 years old,Male,9th grade,6 days,6 hours,4 days,About the right weight,2 days,3 or more teams,6 days,2 hours per day,3 hours per day,4 or more times per day,1 to 3 glasses during the past 7 days,1 time per day,No
14 years old,Female,9th grade,0 days,6 hours,0 days,Slightly overweight,0 days,2 teams,3 days,3 hours per day,2 hours per day,1 time per day,I did not drink milk during the past 7 days,I did not drink soda or pop during the past 7 days,No
14 years old,Male,9th grade,3 days,7 hours,3 days,About the right weight,1 day,1 team,1 day,5 or more hours per day,1 hour per day,1 to 3 times during the past 7 days,4 or more glasses per day,I did not drink soda or pop during the past 7 days,No
,,,5 days,,3 days,About the right weight,3 days,2 teams,5 days,5 or more hours per day,5 or more hours per day,1 time per day,2 glasses per day,3 times per day,
